Group,Organization,Closing_Code,Type_of_Submission,Impact_Summary,Activity,Day_Time_MW,Outage_Duration,Headline_Description,Closing_Type,Prime_Element,ITIL_Severity,SRED
Management and Control Networks,Network Management and Ops,Completed,Normal,"Customer Impact: Small
Service Impact: None
Network Impact: None",Software Upgrade,MW,0.0,"Headline: eWO # PONK1-MOP-X183560.05-001-A site: NEWKIRK -  OS Upgrade

Description: CMTS OS UPGRADE 8.2.5.0_buildbeta

No cable modem or active customers on this CMTS.",No Issues,CMTS,P4,1
Management and Control Networks,Network Management and Ops,Completed,Lead Time Exception,"Customer Impact: Small
Service Impact: None
Network Impact: None",Software Upgrade,Day Time,0.0,"Headline: Remote PHY node upgrade ccsi.gz.rel8.2.5.1_build768b

Description: Remote PHY node upgrade ccsi.gz.rel8.2.5.1_build768b and non production nodes being moved from cmts94.wlfdle to cmts95.wlfdle
NOTE: All the nodes being moved have no customers on them.",No Issues,CMTS,P4,1
Management and Control Networks,Network Management and Ops,Completed,Lead Time Exception,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 on cmts76.grnsbr

Description: Update the OS of Casa from  Rel 7.2.5, Ver 2,build63a1 to Rel 8.2.5, Ver 1,build77c1

This new OS code contains a critical update to address the  P1 outage  under IMT.1906.033710 which affected all Casa CMTS that are running the current code  Rel 7.2.5, Ver 2,build63a1. 

The new OS code contain a software enhancement  to support BGP decoding and processing of BGP update packets in cases when a bad attribute length is received by BGP which could result in interrupted connectivity with BGP peers. The enhancement ensures normal handling of BGP update packets to mitigate possible connectivity issues with peer routers.

The purpose of updating  cmts76.grnsbr is to test this new OS code for stability before rolling it out to the entire network.",No Issues,CMTS,P1,1
Management and Control Networks,Network Management and Ops,Completed,Lead Time Exception,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: X183560.06 CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1

Description: Scope of Work (NCT ? Description)
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",No Issues,CMTS,P2,1
Management and Control Networks,Network Management and Ops,Completed,Normal,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts86.lndn

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",No Issues,CMTS,P2,1
Management and Control Networks,Network Management and Ops,Completed,Normal,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts87.lndn

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",No Issues,CMTS,P2,1
Management and Control Networks,Network Management and Ops,Completed,Normal,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts88.mtnk

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",No Issues,CMTS,P2,1
Management and Control Networks,Network Management and Ops,Completed,Normal,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts89.mtnk

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",No Issues,CMTS,P2,1
Management and Control Networks,Network Management and Ops,Cancelled,Normal,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts77.lndn

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",Other,CMTS,P2,1
Management and Control Networks,Network Management and Ops,Cancelled,Normal,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts79.lndn

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",Other,CMTS,P2,1
Management and Control Networks,Network Management and Ops,Cancelled,Normal,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts81.lndn

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",Other,CMTS,P2,1
Management and Control Networks,Network Management and Ops,Cancelled,Normal,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts78.mtnk

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",Other,CMTS,P2,1
Management and Control Networks,Network Management and Ops,Cancelled,Normal,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts80.nmkt

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",Other,CMTS,P2,1
Management and Control Networks,Network Management and Ops,Cancelled,Normal,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts81.nmkt

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",Other,CMTS,P2,1
Management and Control Networks,Network Management and Ops,Cancelled,Normal,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts88.cmstk

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",Other,CMTS,P2,1
