Year,Group,Window End Date Time,Organization,Window Start Date Time,Closing Code,Type of Submission,FOA?,Nct Id,Governanace,Impact Summary,sred_eligible,Activity,Day Time/MW,Request Owner,Outage Duration,Status,Headline/Description,Closing Type,Prime Element,ITIL Severity,sred_eligible
2019,Management and Control Networks,2019-03-19 06:00:00,Network Management and Ops,2019-03-19 02:00:00,Completed,Normal,No,NCT.1903.004528,TAB/CAB,"Customer Impact: Small
Service Impact: None
Network Impact: None",1,Software Upgrade,MW,adam.poirier,,Closed,"Headline: eWO # PONK1-MOP-X183560.05-001-A site: NEWKIRK -  OS Upgrade

Description: CMTS OS UPGRADE 8.2.5.0_buildbeta

No cable modem or active customers on this CMTS.",No Issues,CMTS,P4,1
2019,Management and Control Networks,2019-08-13 18:00:00,Network Management and Ops,2019-08-13 08:00:00,Completed,Lead Time Exception,No,NCT.1908.003941,TAB/CAB,"Customer Impact: Small
Service Impact: None
Network Impact: None",1,Software Upgrade,Day Time,gagan.bahl,,Closed,"Headline: Remote PHY node upgrade ccsi.gz.rel8.2.5.1_build768b

Description: Remote PHY node upgrade ccsi.gz.rel8.2.5.1_build768b and non production nodes being moved from cmts94.wlfdle to cmts95.wlfdle
NOTE: All the nodes being moved have no customers on them.",No Issues,CMTS,P4,1
2019,Management and Control Networks,2019-08-15 06:00:00,Network Management and Ops,2019-08-15 00:00:00,Completed,Lead Time Exception,Yes,NCT.1908.004005,TAB/CAB,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",1,Software Upgrade,MW,gagan.bahl,60.0,Closed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 on cmts76.grnsbr

Description: Update the OS of Casa from  Rel 7.2.5, Ver 2,build63a1 to Rel 8.2.5, Ver 1,build77c1

This new OS code contains a critical update to address the  P1 outage  under IMT.1906.033710 which affected all Casa CMTS that are running the current code  Rel 7.2.5, Ver 2,build63a1. 

The new OS code contain a software enhancement  to support BGP decoding and processing of BGP update packets in cases when a bad attribute length is received by BGP which could result in interrupted connectivity with BGP peers. The enhancement ensures normal handling of BGP update packets to mitigate possible connectivity issues with peer routers.

The purpose of updating  cmts76.grnsbr is to test this new OS code for stability before rolling it out to the entire network.",No Issues,CMTS,P1,1
2019,Management and Control Networks,2019-08-24 06:00:00,Network Management and Ops,2019-08-24 00:00:00,Completed,Lead Time Exception,No,NCT.1908.010613,TAB/CAB,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",1,Software Upgrade,MW,shaun.laverty,60.0,Closed,"Headline: X183560.06 CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1

Description: Scope of Work (NCT ? Description)
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",No Issues,CMTS,P2,1
2019,Management and Control Networks,2019-09-06 06:00:00,Network Management and Ops,2019-09-06 02:00:00,Completed,Normal,No,NCT.1908.009840,TAB/CAB,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",1,Software Upgrade,MW,felimon.tablada,60.0,Closed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts86.lndn

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",No Issues,CMTS,P2,1
2019,Management and Control Networks,2019-09-06 06:00:00,Network Management and Ops,2019-09-06 02:00:00,Completed,Normal,No,NCT.1908.011656,TAB/CAB,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",1,Software Upgrade,MW,felimon.tablada,60.0,Closed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts87.lndn

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",No Issues,CMTS,P2,1
2019,Management and Control Networks,2019-09-06 06:00:00,Network Management and Ops,2019-09-06 02:00:00,Completed,Normal,No,NCT.1908.011665,TAB/CAB,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",1,Software Upgrade,MW,felimon.tablada,60.0,Closed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts88.mtnk

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",No Issues,CMTS,P2,1
2019,Management and Control Networks,2019-09-06 06:00:00,Network Management and Ops,2019-09-06 02:00:00,Completed,Normal,No,NCT.1908.011666,TAB/CAB,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",1,Software Upgrade,MW,felimon.tablada,60.0,Closed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts89.mtnk

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",No Issues,CMTS,P2,1
2019,Management and Control Networks,2019-09-10 06:00:00,Network Management and Ops,2019-09-10 02:00:00,Cancelled,Normal,No,NCT.1908.011847,TAB/CAB,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",1,Software Upgrade,MW,felimon.tablada,60.0,Closed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts77.lndn

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",Stand Down - Unsafe to Proceed,CMTS,P2,1
2019,Management and Control Networks,2019-09-10 06:00:00,Network Management and Ops,2019-09-10 02:00:00,Cancelled,Normal,No,NCT.1908.011848,TAB/CAB,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",1,Software Upgrade,MW,felimon.tablada,60.0,Closed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts79.lndn

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",Stand Down - Unsafe to Proceed,CMTS,P2,1
